string,pred_old,preds
4 3/4 oz pear brandy,pear brandy,pear brandy
4 3/4 oz pepper vodka,pepper vodka,pepper vodka
4 3/4 oz pineapple,pineapple,pineapple
4 3/4 oz pineapple juice,pineapple juice,pineapple juice
4 3/4 oz pomegranate juice,pomegranate juice,pomegranate juice
4 3/4 oz prepared spiced apple simple syrup,brewed white simple syrup,spiced apple simple syrup
4 3/4 oz rosemary simple syrup,simple simple,citric simple syrup
4 3/4 oz ruby port,ruby port,ruby port
4 3/4 oz rum,rum,rum
4 3/4 oz scotch,scotch,scotch
4 3/4 oz sherry,sherry,sherry
4 3/4 oz simple syrup,simple syrup,simple syrup
"4 3/4 oz smoked brewed black tea, such as lapsang souchong",brewed black tea,smoked brewed black tea
"4 3/4 oz smoked brewed black tea, such as lapsang souchong (optional)",brewed black tea,smoked brewed black tea
4 3/4 oz sparkling wine,sparkling wine,sparkling wine
4 3/4 oz strawberry simple syrup,key simple syrup,gin simple syrup
4 3/4 oz sweet vermouth,sweet vermouth,sweet vermouth
4 3/4 oz tequila,tequila,tequila
4 3/4 oz tequila (optional),tequila,tequila
4 3/4 oz the king's ginger,the kings ginger,the kings ginger
"4 3/4 persian cucumber, cut into a thin wheel",flax cucumber,persian cucumbers
"4 3/4 pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon whole potatoes,yukon grated yukon gold potatoes
"4 3/4 small lime, zested",lime,small ikura
4 3/4 splash gin,gin,gin
4 3/4 tablespoons high-quality unsalted butter,fresh,fresh unsalted butter
4 3/4 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
"4 3/4 tbsp jalapeno, diced",hazelnut,cantaloupes
"4 3/4 tbsp lemon juice, freshly squeezed",lemon juice,lemon juice
4 3/4 tsp citric acid,citric acid,citric acid
4 3/4 tsp maraschino liqueur,maraschino liqueur,maraschino liqueur
4 3/4 tsp whole black peppercorn,black peppercorn,whole black peppercorn
4 3/4 twist orange,grapefruit twist,orange
"4 3/4 vanilla bean (g), split and scraped or  teaspoon vanilla extract",vanilla bean syrup,thai virgin oil
4 3/4 wedge lemon,lemon,lemon
4 allspice,allspice,allspice
"4 blood oranges , quartered",minneola oranges,plastic cucumber
"4 boneless skinless chicken breasts,  OR 4-6 boneless skinless chicken thighs",chicken breasts,boneless chicken thighs
4 cherry,cherry,cherry
4 cherry (optional),cherry,cherry
4 chicken leg quarters,chicken leg,chicken legs
"4 chipotle chilis packed in adobo, roughly chopped, with 2 tablespoons adobo sauce",chipotle schnapps,chipotle chiles chiles in
4 clove,clove,clove
"4 clove medium garlic, thinly sliced",garlic,medium watermelons
"4 clove medium garlic, thinly sliced (optional)",garlic,medium watermelons
4 cloves,cloves,cloves
"4 cloves garlic, chopped",garlic,cumin
"4 cloves garlic, finely minced, or grated on a microplane grater",garlic,finely cut
"4 cloves garlic, grated on a microplane grater",garlic,garlic
"4 cloves garlic, grated on the medium holes of a box grater",garlic,garlic
"4 cloves garlic, minced (about 1 tablespoon)",garlic,cumin
"4 cloves garlic, peeled and cut into several segments",garlic,garlic
"4 cloves garlic, pressed or minced",garlic,garlic
"4 cloves garlic, sliced",garlic,butter
4 cocktail cherries,cherries,cherries
4 coffee beans (optional),coffee beans,coffee beans
"4 cubanelle peppers, stemmed, seeded, and cut into large chunks  (about 2 cups)",peas,lumpfish beans
"4 cubanelle peppers, stemmed, seeded, and cut into large chunks  (about 2 cups) (optional)",peas,lumpfish beans
"4 cup apple cider, fresh",apple cider,apple juice
4 cup vanilla ice cream,vanilla ice cream,vanilla ice cream
"4 cup water, boiling",water,shallots
4 cups    cooked chicken (or use cooked turkey),maraschino cherries,canned chicken
4 cups (32 ounces) vegetable broth,mexican pea,vegetable stock
"4 cups canned green chilies, drained  (can use more!)",green olive,canned green olives
4 cups chicken stock,chicken stock,chicken stock
4 cups Frozen Blueberries,cola,chilled blueberries
"4 cups Little Gem or other small lettuce leaves, torn if large",squid,small chicken cheese
4 cups sifted confectioners' sugar,oregano,granulated sugar sugar
4 cups vegetable broth,mexican,vegetable stock
"4 cups vegetable broth (for dried but soaked chickpeas), 1 1/2 cups vegetable broth (for cooked chickpeas)",american cheese,fresh vegetable vegetable flour
4 dash angostura bitters,angostura bitters,angostura bitters
4 dash grapefruit bitters,grapefruit bitters,grapefruit bitters
4 drop 20 percent saline,marshmallow,saline
4 earl grey tea bag,earl grey tea bag,earl grey tea bag
"4 ears fresh corn, shucked, kernels removed (about 3 cups fresh corn kernels)",corn,fresh pasta
4 eggs,eggs,eggs
4 eggs (optional),eggs,eggs
4 eggs lightly beaten,eggs,egg eggs
4 eggs lightly beaten (optional),eggs,egg eggs
"4 garlic cloves, smashed",garlic cloves,garlic salt
"4 garlic cloves, thinly sliced",garlic cloves,garlic salt
4 in cinnamon stick,cinnamon stick,cinnamon stick
"4 large celery ribs (9 ounces; 260g total), cut into 1/4-inch dice",celery,large celery salt
"4 large celery ribs (9 ounces; 260g total), cut into 1/4-inch dice (optional)",celery,large celery salt
4 large egg yolks,egg yolks,large yolks
4 large eggs,eggs,large eggs
"4 large eggs, whisked lightly",eggs,large
"4 large pitas, toasted, cut into wedges",tangerine,large shishito
"4 large red bell peppers, halved from stem to base, seeds and membranes removed",red bell peppers,large red bell pepper
"4 large Russet or Yukon Gold potatoes, peeled and cut into 1- to 2-inch chunks",yukon gold potatoes,yukon grated yukon gold potatoes
"4 large Yukon Gold potatoes, cut into 1/2-inch discs",yukon gold potatoes,large yukon gold potato
4 leaf basil,basil,basil
"4 leaf basil, fresh",basil,parsley
4 leaf mint,mint,mint
4 leaf pineapple,pineapple,pineapple
4 leaves of culantro (see note),currants,amchur
4 maraschino cherry,maraschino cherry,maraschino cherry
"4 medium (about 1.3 ounces total) dried chiles cascabeles norteño, or California/ New Mexico chiles, stemmed, seeded, and deveined",dried chiles chiles,whole new mexico chile
"4 medium beefsteak tomatoes, cut into 1- to 2-inch chunks (about 3 cups)",beefsteak tomatoes,medium beefsteak tomato
"4 medium garlic cloves, minced (about 4 teaspoons)",garlic port,garlic salt
"4 oil-packed anchovy fillets, finely chopped",anchovy paste,large anchovy paste
"4 oil-packed anchovy fillets, finely chopped (optional)",anchovy paste,large anchovy paste
"4 ounces (115g) finely grated Gruyère cheese, plus more for sprinkling",pasta,finely grated lumpfish pepper
4 ounces (120ml) high-quality blanco tequila (see note),gala grapefruit,blanco tequila tequila
4 ounces (about 1 cup) grated part-skim mozzarella or cheddar,cola,grated grated reggiano
"4 ounces chicken livers, finely chopped (optional)",chicken,chicken leg
"4 ounces fresh foie gras (about two 1/2-inch slabs, see note)",foie gras,fresh foie gras
"4 ounces granulated sugar (1/2 cup; 115g), plain or toasted",granulated sugar,plain grated sugar sugar
"4 ounces parmesan, grated on a microplane grater (About 2 cups)",parmesan,milk
"4 ounces prosciutto, thinly sliced",kielbasa,cantaloupes
4 oz aged rum,aged rum,aged rum
4 oz apple cider,apple cider,apple cider
"4 oz blood orange juice, fresh",blood orange juice,blood orange juice
4 oz bourbon,bourbon,bourbon
"4 oz cava, chilled",cava,seltzer
4 oz champagne,champagne,champagne
"4 oz club soda, chilled",club soda,club soda
"4 oz coconut water, chilled",coconut water,coconut water
"4 oz coffee, hot",coffee,seltzer
4 oz cointreau,cointreau,cointreau
4 oz crushed ice,crushed ice,crushed ice
4 oz dark rum,dark rum,dark rum
4 oz demerara simple syrup,simple simple syrup,demerara simple syrup
4 oz freshly squeezed lime juice,lime juice,lime juice
4 oz freshly squeezed orange juice,orange juice,orange orange
4 oz ginger beer,ginger beer,ginger beer
4 oz granny smith apple cider,granny smith apple,granny smith cider
4 oz grapefruit soda,grapefruit soda,grapefruit soda
"4 oz hard cider, chilled",hard cider,hard cider
"4 oz hard cider, chilled (optional)",hard cider,hard cider
4 oz honey,honey,honey
4 oz ice cube,ice cube,ice cube
4 oz mezcal,mezcal,mezcal
4 oz orgeat,orgeat,cynar
4 oz pepper vodka,pepper vodka,pepper vodka
"4 oz pink grapefruit juice, fresh",pink grapefruit juice,pink grapefruit juice
4 oz raw sugar,sugar,raw sugar
4 oz rye whiskey,rye whiskey,rye whiskey
"4 oz seltzer, chilled",seltzer,seltzer
"4 oz sparkling wine, preferable moscato",sparkling wine,sparkling wine
4 oz tomato juice,tomato juice,tomato juice
4 oz unsweetened pomegranate juice,pomegranate juice,unsweetened pomegranate juice
4 oz vodka,vodka,vodka
4 oz water,water,water
4 oz whipped cream,whipped cream,whipped cream
4 oz white rum,white rum,white rum
4 oz whole milk,whole milk,whole milk
"4 oz. country-style bread, torn into 1½"" pieces",bread zest,lumpfish
"4 pounds (about 2kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon chinese brisket,yukon grated yukon gold potato
4 pounds russet potatoes (about 7 medium),russet potatoes,russet potatoes
4 quarts (3.8L) water,pumpkins,water
"4 rib eye or New York strip steaks, about 1 1/2-inches thick (about 12 ounces each)",red,turkey
4 ripe avocados,avocados,ripe avocados
"4 ripe plum tomatoes, cored and cut into chunks  (about 1 1/2 cups)",plum tomatoes,ripe plum tomatoes
"4 salmon fillets, about 1 1/2 pounds",smoked salt,fish stock
"4 satsumas or blood oranges or 3 medium oranges, peeled, sliced into rounds, seeds removed",grapefruit,medium rice
"4 skinless, boneless, chicken breasts (about 1 1/2 pounds)",chicken cinnamon,chicken breasts
4 slice lime,lime,lime
4 slices artisan wheat bread any dense wheat bread works well,whole wheat cube,gluten free flour
4 slices black forest ham sliced,black coffee,black eyed flour
4 slices bread,bread,bread
"4 slices from a large loaf of rye bread, whole wheat sourdough or bread of your choice",brewed tea,large steel forest flour
4 slices of bread,potato potato,bread of
"4 small shallots, minced (about 1/2 cup)",shallots,small ice
4 sparkling apple cider,sparkling apple cider,sparkling apple cider
4 sprigs cilantro,cilantro,cilantro
4 stalk lemongrass,lemongrass,lemongrass
4 star whole anise,anise,anise
4 stick cinnamon,cinnamon,cinnamon
"4 sweet potatoes, peeled and cut into 1-inch cubes",sweet potatoes,sweet potatoes
4 tablespoon sesame seeds,sesame seeds,sesame seeds
4 tablespoons butter,butter,butter
4 tablespoons butter or ghee,butter,ghee ghee flour
"4 tablespoons butter, melted",butter,butter
"4 tablespoons extra-virgin olive oil, divided",olive,extra virgin olive oil
"4 tablespoons oil (can use sunflower oil, olive oil or any neutral flavored oil)",oil,olive
4 tablespoons olive oil,olive oil,olive oil
"4 tablespoons sugar, plus more to taste",sugar,butter
4 tablespoons unsalted butter,unsalted butter,unsalted butter
"4 tablespoons unsalted butter, cut into 1/2-inch cubes, plus more for the casserole dish",unsalted butter,unsalted butter
4 tablespoons vegetable oil,vegetable oil,vegetable oil
"4 tablespoons vegetable, peanut, or canola oil",cauliflower,table beans
"4 tbsp butter, softened",butter,butter
4 tbsp caster sugar,sugar,pectic sugar
4 tbsp fresh lemon juice,lemon juice,fresh juice juice
4 tbsp lemon juice,lemon juice,lemon juice
4 tbsp orange zest,orange zest,orange zest
4 teaspoons (20g) kosher salt,kosher salt,kosher salt
4 tsp mincemeat,tangerine,cynar
4 tsp mixed spice,puff bread,mixed rum
4 tsp tequila,tequila,tequila
4 wedge lemon,lemon,lemon
4 wedge tangerine,tangerine,tangerine
4 wheel orange,orange,orange
"4 whole dried ancho chilies, seeds and stems removed",vanilla grapefruit,dried ancho chiles
"4 whole dried pasilla chilies, seeds and stems removed",sunflower powder,dried pasilla chile
"4-6 heads baby bok choy, root ends trimmed off",baby orange,angel bird apples
400 g aperol,aperol,aperol
400 g apple brandy,apple brandy,apple brandy
400 g benedictine,gingersnaps,benedictine
400 g bornholmer bitter,goat squash,bornholmer bitter
400 g campari,campari,campari
400 g cointreau,rambutan,cointreau
400 g drinking vinegar,buckwheat peas,smoked vinegar
400 g dry sherry,dry sherry,dry sherry
"400 g dry vermouth, chilled",dry vermouth,dry sherry
400 g dubonnet,ham,dubonnet
400 g freshly squeezed orange juice (optional),orange juice,freshly orange orange juice
"400 g ginger, peeled",ginger,shallots
400 g gran classico,gran chard,gran classico
400 g honey syrup,honey syrup,honey syrup
"400 g large lime juice, fresh",lime juice,large lime juice
400 g lavender simple syrup,simple simple,sparkling simple syrup
"400 g lemon juice, freshly squeezed",lemon juice,lemon juice
400 g lillet blanc,barolo blanc,lillet blanc
"400 g lime, fresh",lime,peach
"400 g mango, diced",lemon,beet
400 g mezcal,caraway,mezcal
400 g mint-flavored simple syrup,honey simple syrup,rock simple syrup
400 g pureed concord grape,concord wine,toasted grape tomato
400 g raw sugar,sugar,raw sugar
400 g rose water,rose water,rose water
400 g the king's ginger,black sea,the kings ginger
400 g tomato juice,tomato juice,tomato juice
400 g vermouth,vermouth,vermouth
400 ml averna,averna,cynar
"400 ml black coffee, hot",black coffee,black cardamom
400 ml blanco tequila,green grape,blanco tequila
400 ml brandy,brandy,brandy
400 ml campari,campari,campari
"400 ml celery juice, fresh",lemon juice,celery juice
400 ml cocchi americano,cocchi americano,cocchi americano
400 ml cranberry simple syrup,ginger simple syrup,cranberry simple
400 ml curacao,curacao,curacao
400 ml demerara simple syrup,creme simple syrup,demerara simple syrup
400 ml drinking vinegar,buckwheat peas,cheap vinegar
"400 ml dry sparkling wine, chilled",sparkling wine,sparkling sparkling wine
"400 ml dry vermouth, chilled (optional)",dry vermouth,dry vermouth
400 ml elderflower liqueur,caraway liqueur,elderflower liqueur
400 ml fresh egg white,egg white,fresh egg white
400 ml honey,honey,honey
"400 ml lemon juice, freshly squeezed",lemon juice,lemon juice
"400 ml lemon, freshly squeezed",lemon,marjoram
400 ml montenegro amaro,meyer salmon,montenegro amaro
400 ml orange curacao,orange marmalade,orange curacao
400 ml prosecco,pistachio,prosecco
400 ml sage simple syrup,simple simple syrup,sage simple syrup
400 ml unfiltered apple cider,apple cider,unfiltered apple cider cider
400 ml vermouth,vermouth,vermouth
400 ml yellow chartreuse,yellow chartreuse,yellow chartreuse
400g agave nectar,agave nectar,agave nectar
400g aperol,aperol,aperol
400g averna,spareribs,averna
400g bornholmer bitter,bornholmer bitter,bornholmer bitter
400g campari,campari,campari
400g cardamom-infused bourbon,cola,ripe infused bourbon
400g caster sugar (don't use golden - it muddies the colour),sugar,granulated sugar
400g cava,kiwi,cava
400g champagne,champagne,champagne
400g coconut seltzer,lamb seltzer,coconut seltzer
"400g coffee, hot (optional)",coffee,shallots
400g demerara simple syrup,simple simple syrup,demerara simple syrup
"400g dry vermouth, chilled",dry vermouth,dry sherry
"400g dry vermouth, chilled (optional)",dry vermouth,dry sherry
400g freshly squeezed lemon juice,lemon juice,lemon juice juice
400g freshly squeezed orange juice,orange juice,freshly orange orange juice
400g granny smith apple cider,granny smith apple,granny smith cider
400g ice,cranberry ice,ice
"400g kale juice, fresh",kale juice,kale juice
400g lavender simple syrup (optional),lavender simple,sparkling simple syrup
"400g lemon, fresh",lemon,peach
"400g lemon, freshly squeezed",lemon,prosecco
"400g lime juice, freshly squeezed",lime juice,lime juice
400g molasses,clove,molasses
400g orange ginger simple syrup,ginger simple simple,orange ginger simple
"400g pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
400g pisco,watermelons,pisco
400g rosemary simple syrup,simple simple,citric simple syrup
400g scotch,scotch,scotch
"400g simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
400g sparkling wine,sparkling wine,sparkling wine
"400g sparkling wine, chilled",sparkling wine,sparkling champagne
400g sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
400g the king's ginger,the kings,the kings ginger
400g vanilla simple syrup,ginger simple simple syrup,vanilla simple syrup
400g vodka,shortening,vodka
400g water,water,water
"400g water, boiling",water,cherry
400ml agave nectar,agave nectar,agave nectar
400ml amaretto,tarragon,amaretto
400ml apple cider,apple cider,apple cider
400ml blanco tequila,blanco tequila,blanco tequila
400ml brut sparkling wine,sparkling wine,sparkling sparkling wine
"400ml cachaça liqueur, or light rum",fresh pasta,light rum rum
400ml campari,campari,campari
400ml can coconut milk,coconut milk,coconut milk milk
400ml cloudy apple juice,grapefruit juice,apple apple juice
400ml cranberry simple syrup,dried simple syrup,cranberry simple
400ml curacao,curacao,curacao
400ml drambuie,drambuie,drambuie
400ml dubonnet rouge,dubonnet rouge,dubonnet rouge
400ml freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
400ml ginger beer,ginger beer,ginger beer
400ml ginger juice,ginger juice,ginger juice
400ml grenadine,fritos,grenadine
"400ml hot, freshly brewed black coffee",black black,freshly brewed black coffee
"400ml lemon juice, freshly squeezed",lemon juice,lemon juice
"400ml lemon juice, freshly squeezed (optional)",lemon juice,lemon juice
400ml lillet blonde,lillet blonde,lillet blonde
400ml orange juice,lemon juice,orange juice
400ml passionfruit simple syrup,simple simple syrup,passionfruit simple syrup
400ml pear brandy,pear brandy,pear brandy
400ml peated scotch,almond jam,peated scotch
400ml rose champagne,rose champagne,rose champagne
400ml rosemary simple syrup,simple simple,rosemary simple syrup
400ml rum,rum,rum
400ml sage simple syrup,simple simple syrup,sage simple syrup
400ml seltzer,seltzer,seltzer
400ml sparkling wine,sparkling wine,sparkling wine
400ml spiced rum,spiced rum,spiced rum
"400ml strawberry, sliced (optional)",strawberry,cherry
"400ml tangerine juice, freshly squeezed",tangerine juice,tangerine juice
400ml tequila (optional),tequila,tequila
400ml tomato juice,tomato juice,tomato juice
400ml tonic water,tonic water,tonic water
400ml vodka,shortening,vodka
"400ml water, boiling",water,cherry
400ml white vermouth,white vermouth,white vermouth
450 g ale,ale,ale
450 g becherovka,becherovka,averna
450 g benedictine,benedictine,benedictine
450 g campari,campari,campari
450 g cardamom pod,cardamom,cardamom pod
450 g chicory-infused rye whiskey,semolina flour,flaky infused rye whiskey
450 g chilled champagne,champagne,chilled champagne
450 g freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
450 g gin,gin,gin
450 g ginger liqueur,ginger liqueur,ginger liqueur
450 g grapefruit soda,grapefruit soda,grapefruit soda
450 g half and half,half and half,half and half
450 g hard cider,hard cider,hard cider
450 g lavender simple syrup,lavender simple,ginger simple syrup
450 g lavender simple syrup (optional),lavender simple,ginger simple syrup
"450 g lemon juice, freshly squeezed (optional)",lemon juice,lemon juice
450 g lillet blanc,lillet blanc,lillet blanc
450 g old tom gin,old tom gin,old tom gin
450 g orange curacao,orange curacao,orange curacao
"450 g orange juice, fresh (optional)",orange juice,orange curacao
450 g pear brandy,pear brandy,pear brandy
450 g pisco,pisco,pisco
450 g pistachio liqueur,pistachio liqueur,pistachio liqueur
450 g sparkling wine,sparkling wine,sparkling wine
450 g vodka,vodka,vodka
450 ml absinthe,absinthe,absinthe
450 ml aged rum,aged rum,aged rum
450 ml aperol,aperol,aperol
450 ml blanco tequila,blanco tequila,blanco tequila
450 ml bornholmer bitter,bornholmer bitter,bornholmer bitter
450 ml campari,campari,campari
450 ml cherry heering,cherry heering,cherry
450 ml dry sherry,dry sherry,dry sherry
450 ml elderflower liqueur,elderflower liqueur,elderflower liqueur
450 ml freshly squeezed grapefruit juice,grapefruit juice,freshly grapefruit grapefruit juice
450 ml freshly squeezed orange juice,orange juice,orange orange orange juice
"450 ml ginger juice, fresh",ginger juice,ginger beer
450 ml hard cider,hard cider,hard cider
450 ml high-proof bourbon,gruyere,bourbon bourbon bourbon
450 ml honey,honey,honey
"450 ml hot, freshly brewed black coffee",black black,freshly brewed black coffee
450 ml ice cube (optional),ice cube,ice cube
450 ml lillet blanc,lillet blanc,lillet blanc
450 ml old tom gin,old tom gin,old tom gin
450 ml orange curacao,orange curacao,orange curacao
"450 ml orange juice, freshly squeezed",orange juice,orange curacao
450 ml passionfruit simple syrup,simple simple syrup,passionfruit simple syrup
450 ml pisco,pisco,pisco
450 ml rooibos simple syrup,rooibos simple syrup,rooibos tea bag
"450 ml sparkling wine, chilled",sparkling wine,sparkling wine
450 ml triple sec,triple sec,triple sec
450 ml vanilla simple syrup,vanilla simple syrup,vanilla simple syrup
450 ml vodka,vodka,vodka
450 ml whipped cream,whipped cream,whipped cream
450g aperol,aperol,aperol
450g averna,spareribs,averna
450g beet juice (optional),lemon juice,beet juice
450g blanco tequila,blanco tequila,blanco tequila
450g brut sparkling wine,sparkling wine,sparkling sparkling wine
450g cardamom-infused bourbon,cola,ripe infused bourbon
"450g cava, chilled (optional)",cava,seltzer
450g coffee,coffee,coffee
"450g cool, filtered water",water,water
450g demerara simple syrup,simple simple syrup,demerara simple syrup
450g drinking vinegar,english sherry,smoked vinegar
450g dry sherry,dry sherry,dry sherry
"450g dry vermouth, chilled",dry vermouth,dry sherry
450g granulated sugar,granulated sugar,granulated sugar
450g hard cider,hard cider,hard cider
450g lemon juice,lemon juice,lemon juice
"450g lemon juice, freshly squeezed",lemon juice,lemon juice
450g lillet rouge,lillet rouge,lillet rouge
450g molasses,clove,molasses
450g peated scotch,almond jam,peated scotch
450g rooibos simple syrup,simple simple syrup,rooibos tea bag
450g sage simple syrup,simple simple syrup,sage simple syrup
"450g seltzer, chilled",seltzer,seltzer
450g sherry,sherry,sherry
"450g sweet sparkling wine, chilled",sparkling wine,sweet sparkling wine
450g tequila (optional),tequila,tequila
450g tomato juice,tomato juice,tomato juice
450g vodka,shortening,vodka
450g white rum,white rum,white rum
450g yellow chartreuse,yellow chartreuse,yellow chartreuse
450ml aperol,aperol,aperol
450ml apple cider,apple cider,apple cider
450ml applejack (optional),bourbon,applejack
450ml apricot liqueur,apricot liqueur,apricot liqueur
450ml averna,spareribs,cynar
450ml blanco tequila,blanco tequila,blanco tequila
"450ml blood orange juice, fresh",blood orange juice,blood orange juice
450ml brewed chamomile tea,brewed chamomile tea,brewed chamomile tea
450ml coffee,coffee,coffee
450ml creme de cacao,creme de cacao,creme de cacao
450ml cynar,twine,cynar
"450ml dry lambrusco, chilled",cola,dry vermouth
450ml dubonnet,dubonnet,dubonnet
450ml freshly squeezed orange juice,orange juice,orange orange orange juice
450ml gran classico,gran classico,gran classico
450ml grenadine,fritos,grenadine
450ml hard cider,hard cider,hard cider
"450ml hard cider, chilled",hard cider,hard cider
450ml orgeat,carrot,cynar
450ml pomegranate juice,pomegranate juice,pomegranate juice
450ml pureed concord grape,concord grape,concord grape tomato
450ml raw sugar,sugar,raw sugar
450ml rye whiskey,rye whiskey,rye whiskey
450ml smoky scotch,cava,flaky scotch
450ml sugar,sugar,sugar
450ml tequila (optional),tequila,tequila
450ml vodka,shortening,vodka
450ml walnut liqueur,walnut liqueur,walnut liqueur
45ml lemon vodka,lemon zest,pepper vodka
5 1/2 oz chilled champagne,champagne,chilled champagne
"5 cardamom pods , bruised (plus 2 to garnish)",cardamom pods,green pods
"5 cloves garlic, pressed or minced (about 1 tablespoon)",garlic,garlic
5 cup gin,gin,gin
5 cups diced onion,lime powder,onion onion
"5 large carrots (about 1½ lb.), peeled",carrots,large cut and
5 large egg yolks (75g),egg yolks,large yolks
5 leaf basil,basil,basil
5 leaf mint,mint,mint
5 lemon,lemon,lemon
"5 medium mushrooms, chopped",mushrooms,medium
5 oz amaro,amaro,amaro nonino
5 oz champagne,champagne,champagne
5 oz pineapple juice,pineapple juice,pineapple juice
5 oz strawberry simple syrup,honey simple syrup,gin syrup
5 oz white rum,white rum,white rum
5 peppercorns,peppercorns,peppercorns
"5 pounds (2.3kg) bone-in beef short ribs, trimmed of silver skin and excess fat",cured grapefruit,gluten free ribs
"5 pounds bone-in chicken pieces (breasts, legs, or a mix), skin removed",plum,curacao
"5 slice cucumber, peeled",cucumber,partridge
5 slices bread,bread,bread
5 slices of bread,potato potato,bread of
5 sprig rosemary,rosemary,rosemary
"5 stalks asparagus, cut into 1-inch segments",asparagus,partridge
"5 tablespoons (75ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",tangerine,extra virgin virgin parsley
"5 tablespoons niter kibbeh, or plain unsalted butter",fresh pasta,plain unsalted butter
"5 tablespoons oil, for stir-frying, divided",oil,butter
5 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
5 to 6 cups broccoli florets and sliced stalks (keep the 2 cuts separate),broccoli,ripe almond
5 to 6 cups broccoli florets and sliced stalks (keep the 2 cuts separate) (optional),broccoli,ripe almond
5 wheel cucumber,cucumber,cucumber
"5 to 6 ounces baby spinach, roughly chopped",sour grape,baby arugula
50 g amaro (optional),amaro,amaro nonino
50 g averna,averna,averna
50 g blanco tequila,blanco tequila,blanco tequila
50 g campari,campari,campari
50 g citrus vodka,citrus vodka,citrus vodka
50 g cranberry simple syrup,simple simple syrup,cranberry simple syrup
50 g crushed ice,crushed ice,crushed ice
50 g curacao,curacao,curacao
50 g dark rum,dark rum,dark rum
50 g drinking vinegar,english vinegar,smoked vinegar
50 g dry vermouth,dry vermouth,dry vermouth
50 g fresh pomegranate juice,pomegranate juice,fresh pomegranate juice
50 g freshly squeezed orange juice,orange juice,orange orange orange juice
"50 g ginger juice, fresh",ginger juice,ginger beer
50 g hard cider,hard cider,hard cider
"50 g kale juice, fresh",kale juice,kale juice
"50 g lemon juice, freshly squeezed",lemon juice,lemon juice
"50 g lime juice, fresh",lime juice,lime juice
"50 g orange juice, fresh (optional)",orange juice,orange juice
"50 g orange juice, freshly squeezed",orange juice,orange juice
50 g pisco,pisco,pisco
50 g pistachio liqueur,pistachio liqueur,pistachio liqueur
50 g port,port,port
50 g punt e mes,punt e mes,punt e mes
50 g rich simple syrup,simple simple syrup,dark simple syrup
50 g spiced rum,spiced rum,spiced rum
50 g tequila,tequila,tequila
50 g vodka,vodka,vodka
50 g white rum,white rum,white rum
50 g whole milk,whole milk,whole milk
50 ml aperol,aperol,aperol
50 ml applejack (optional),applejack,applejack
"50 ml blood orange juice, fresh",blood orange juice,blood orange juice
50 ml coconut water,coconut water,coconut water
50 ml coffee,coffee,coffee
50 ml cold water,water,cold water
50 ml demerara simple syrup,simple simple syrup,demerara simple syrup
50 ml dry sherry,dry sherry,dry sherry
50 ml dubonnet,dubonnet,dubonnet
50 ml dubonnet rouge,dubonnet rouge,dubonnet rouge
50 ml freshly squeezed lemon juice,lemon juice,lemon juice juice
50 ml grapefruit juice,grapefruit juice,grapefruit juice
"50 ml grapefruit juice, freshly squeezed",grapefruit juice,grapefruit zest
50 ml grenadine,grenadine,grenadine
"50 ml lemon juice, fresh",lemon juice,lemon juice
50 ml lillet blanc,lillet blanc,lillet blanc
50 ml passionfruit simple syrup,ginger simple syrup,passionfruit simple
50 ml pineapple juice,pineapple juice,pineapple juice
50 ml punt e mes,punt e mes,punt e mes
50 ml rosemary simple syrup,simple simple,rosemary simple syrup
50 ml seltzer,seltzer,seltzer
"50 ml seltzer, chilled",seltzer,chilled
50 ml sweet vermouth,sweet vermouth,sweet vermouth
"50 ml tangerine juice, freshly squeezed",tangerine juice,tangerine juice
50 ml the king's ginger,the kings ginger,the kings ginger
50 ml vermouth,vermouth,vermouth
50 ml water,water,water
50 ml white rum,white rum,white rum
50-100ml fresh lime juice,lime juice,fresh lime juice
500 g amaretto,amaretto,amaretto
500 g apple brandy,apple brandy,apple brandy
500 g apple cider,apple cider,apple cider
"500 g apple cider, fresh",apple cider,apple schnapps
500 g becherovka,becherovka,averna
500 g bornholmer bitter,bornholmer bitter,bornholmer bitter
500 g brut sparkling wine,sparkling wine,sparkling sparkling wine
500 g cava,cava,cava
500 g cava (optional),cava,cava
500 g chilled champagne,champagne,chilled champagne
500 g cold water,water,cold
500 g cynar,cynar,averna
"500 g dry vermouth, chilled (optional)",dry vermouth,dry sherry
500 g elderflower liqueur,elderflower liqueur,elderflower liqueur
500 g freshly squeezed orange juice,orange juice,orange orange orange juice
500 g grenadine,grenadine,grenadine
"500 g hot, freshly brewed black coffee",black black,crushed brewed black tea
"500 g large lime juice, fresh",lime juice,large lime juice
